"","acctnum","gender","R","F","M","firstpur","age_class","single","student","mailing","respmail"
"882",18341,"F",14,"5",45.4,38,"18-25","no","yes",1,1
"884",18369,"M",6,"5",26,20,"36-40","yes","yes",1,0
"885",18376,"F",30,"4",32,46,"18-25","yes","yes",1,1
"890",18422,"M",30,"8",33.75,56,"26-30","yes","no",1,0
"892",18482,"F",4,"1",70,4,"18-25","no","yes",1,0
"894",18486,"F",12,"1",258,12,"18-25","no","no",1,0
"896",18497,"F",20,"2",160,28,"18-25","yes","yes",1,0
"897",18498,"F",14,"1",122,14,"18-25","no","yes",1,0
"900",18560,"F",16,"2",100,22,"18-25","no","no",1,0
"902",18571,"F",22,"5",51.2,42,"26-30","yes","yes",1,0
"904",18592,"F",12,"2",49.5,14,"18-25","no","no",1,0
"905",18621,"F",22,"11",21.5454545454545,58,"31-35","yes","yes",1,0
"906",18623,"F",14,"1",299,14,"18-25","no","no",1,0
"907",18640,"F",4,"10",38.3,50,"41-45","yes","yes",1,0
"908",18663,"F",2,"2",75,4,"26-30","no","yes",1,0
"909",18670,"F",8,"2",128.5,16,"18-25","yes","no",1,0
"910",18677,"M",8,"6",56.8333333333333,24,"18-25","no","yes",1,0
"912",18702,"M",14,"4",24.5,32,"26-30","yes","yes",1,1
"914",18714,"F",32,"11",30.8181818181818,82,"18-25","yes","yes",1,1
"915",18716,"F",10,"2",115,14,"18-25","no","yes",1,0
"918",18729,"F",16,"10",37.1,74,"31-35","yes","yes",1,1
"921",18759,"M",8,"1",152,8,"26-30","no","no",1,0
"922",18763,"F",16,"1",306,16,"18-25","no","no",1,0
"925",18812,"F",6,"5",40.2,26,"26-30","no","yes",1,1
"936",18970,"M",14,"6",31.8333333333333,26,"26-30","no","yes",1,1
"938",18979,"M",4,"7",50.1428571428571,40,"31-35","yes","yes",1,1
"940",18991,"M",16,"4",86.5,24,"26-30","yes","yes",1,0
"941",18994,"F",16,"11",17.2727272727273,58,"31-35","no","no",1,0
"942",19003,"F",16,"9",25.8888888888889,62,"46-50","yes","yes",1,0
"943",19011,"F",36,"7",39.5714285714286,72,"26-30","no","yes",1,1
"947",19061,"F",10,"1",301,10,"26-30","no","no",1,0
"949",19080,"M",10,"4",45.5,20,"36-40","no","yes",1,0
"954",19182,"M",4,"4",74,16,"26-30","no","no",1,0
"956",19222,"F",8,"1",281,8,"26-30","no","no",1,0
"957",19227,"F",12,"1",309,12,"18-25","no","yes",1,0
"958",19229,"F",32,"12",25.8333333333333,99,"31-35","yes","yes",1,0
"959",19250,"M",28,"8",28.375,74,"31-35","yes","yes",1,1
"961",19257,"M",10,"2",46,14,"18-25","no","yes",1,0
"963",19279,"F",26,"11",32.1818181818182,62,"46-50","yes","yes",1,1
"966",19299,"F",8,"1",192,8,"18-25","no","no",1,0
"967",19305,"F",14,"6",56.8333333333333,46,"26-30","yes","no",1,0
"968",19310,"M",16,"7",36.5714285714286,40,"26-30","yes","yes",1,0
"970",19322,"F",14,"1",254,14,"18-25","no","no",1,0
"971",19345,"M",2,"1",150,2,"26-30","no","no",1,0
"972",19357,"F",10,"8",26.875,42,"26-30","yes","yes",1,0
"977",19419,"F",16,"7",50.4285714285714,36,"18-25","no","yes",1,0
"978",19446,"F",4,"11",25.6363636363636,44,"31-35","no","yes",1,1
"979",19448,"M",14,"1",205,14,"26-30","no","no",1,0
"981",19458,"F",16,"7",19.2857142857143,34,"36-40","no","yes",1,1
"984",19536,"M",20,"1",63,20,"18-25","no","no",1,0
"985",19563,"M",8,"2",54,10,"18-25","yes","no",1,0
"987",19574,"F",12,"1",295,12,"18-25","no","yes",1,0
"988",19576,"M",6,"3",60,18,"18-25","no","yes",1,0
"989",19579,"F",12,"2",129,16,"26-30","no","yes",1,0
"990",19584,"F",14,"1",267,14,"18-25","no","yes",1,0
"992",19597,"F",8,"6",59.3333333333333,20,"18-25","yes","yes",1,0
"993",19604,"F",10,"2",35,16,"26-30","no","no",1,0
"995",19648,"F",14,"12",18.6666666666667,62,"36-40","yes","yes",1,0
"997",19662,"F",22,"8",40.625,44,"31-35","no","yes",1,1
"998",19682,"F",14,"2",88.5,20,"18-25","no","yes",1,0
"1000",19700,"F",4,"1",38,4,"18-25","no","no",1,0
"1001",19702,"F",16,"1",285,16,"18-25","no","yes",1,0
"1002",19709,"M",16,"2",95,20,"18-25","no","yes",1,0
"1003",19719,"F",4,"2",164.5,12,"18-25","yes","no",1,0
"1005",19732,"F",28,"7",56.5714285714286,50,"26-30","no","yes",1,1
"1006",19734,"F",14,"6",51.8333333333333,26,"18-25","no","yes",1,0
"1010",19754,"F",26,"1",63,26,"26-30","no","no",1,0
"1012",19797,"F",14,"2",16,18,"18-25","no","yes",1,0
"1013",19802,"F",10,"9",23.7777777777778,46,"31-35","yes","yes",1,1
"1015",19817,"F",24,"2",42.5,32,"18-25","no","yes",1,0
"1017",19838,"F",6,"2",101.5,10,"18-25","no","no",1,0
"1020",19867,"M",26,"2",119,34,"26-30","no","yes",1,0
"1022",19874,"F",16,"12",22.0833333333333,68,"31-35","yes","yes",1,0
"1025",19900,"F",30,"8",46.25,58,"26-30","yes","yes",1,0
"1028",19926,"F",4,"1",82,4,"26-30","no","no",1,0
"1035",20013,"F",16,"8",30.5,42,"41-45","no","yes",1,0
"1036",20031,"F",8,"2",58.5,16,"18-25","no","no",1,0
"1038",20034,"F",12,"6",50.1666666666667,34,"31-35","yes","yes",1,0
"1044",20089,"F",6,"7",35.7142857142857,28,"31-35","no","yes",1,0
"1045",20092,"F",12,"11",19.2727272727273,54,"31-35","no","yes",1,0
"1046",20105,"M",10,"2",124,18,"18-25","yes","no",1,0
"1049",20156,"F",12,"9",40.1111111111111,30,"26-30","yes","yes",1,0
"1051",20183,"F",4,"1",99,4,"26-30","no","no",1,0
"1052",20190,"F",8,"8",17.25,38,"36-40","no","yes",1,0
"1053",20194,"M",8,"4",26.75,24,"18-25","no","yes",1,0
"1057",20230,"F",34,"6",18.1666666666667,46,"26-30","yes","yes",1,1
"1059",20250,"M",4,"1",107,4,"18-25","no","no",1,0
"1061",20277,"M",12,"5",43.8,36,"18-25","yes","no",1,0
"1067",20361,"F",12,"4",30.75,30,"26-30","no","no",1,0
"1069",20367,"F",20,"2",60,24,"26-30","no","yes",1,0
"1070",20369,"F",14,"2",52,18,"18-25","no","yes",1,0
"1071",20370,"F",12,"2",150,18,"26-30","no","yes",1,0
"1072",20386,"F",10,"1",195,10,"18-25","no","no",1,0
"1073",20391,"F",10,"2",141,14,"26-30","no","no",1,0
"1074",20395,"M",8,"9",23.1111111111111,56,"26-30","no","yes",1,1
"1076",20406,"F",16,"2",46.5,24,"18-25","no","yes",1,0
"1078",20437,"F",16,"2",31.5,20,"18-25","no","yes",1,0
"1079",20458,"M",36,"1",200,36,"18-25","no","yes",1,0
"1080",20462,"M",10,"2",73.5,12,"31-35","no","no",1,0
"1081",20465,"F",12,"1",93,12,"18-25","no","no",1,0
"1082",20468,"F",16,"10",42.2,42,"36-40","no","yes",1,0
"1086",20513,"M",12,"1",58,12,"18-25","no","no",1,0
"1087",20516,"F",6,"1",99,6,"18-25","no","yes",1,0
"1089",20542,"M",8,"2",60.5,16,"18-25","yes","yes",1,1
"1090",20547,"F",2,"2",137,4,"26-30","no","yes",1,0
"1092",20551,"M",14,"3",70.3333333333333,28,"26-30","no","no",1,0
"1094",20600,"F",14,"2",36,18,"26-30","no","no",1,0
"1096",20620,"F",14,"8",27,46,"26-30","yes","yes",1,0
"1103",20725,"F",14,"1",287,14,"18-25","yes","no",1,0
"1106",20755,"M",30,"2",56,38,"18-25","no","no",1,0
"1107",20756,"F",6,"2",126,10,"26-30","no","yes",1,0
"1110",20798,"F",34,"11",41.4545454545455,84,"36-40","yes","yes",1,1
"1111",20810,"M",16,"1",213,16,"18-25","no","no",1,0
"1112",20825,"F",34,"2",73,40,"26-30","no","no",1,0
"1113",20841,"F",2,"1",33,2,"18-25","yes","no",1,0
"1118",20888,"F",6,"2",17.5,12,"26-30","no","no",1,0
"1119",20902,"F",34,"1",229,34,"18-25","no","no",1,0
"1120",20907,"M",2,"1",124,2,"18-25","no","no",1,0
"1121",20908,"F",18,"1",131,18,"18-25","no","no",1,0
"1122",20922,"M",2,"2",76.5,6,"18-25","yes","no",1,0
"1123",20923,"M",4,"1",98,4,"18-25","no","no",1,0
"1124",20934,"F",2,"2",101.5,4,"26-30","no","yes",1,0
"1125",20937,"F",12,"10",19.5,38,"31-35","no","yes",1,1
"1128",20969,"F",4,"5",22.4,18,"31-35","no","yes",1,0
"1130",20994,"F",16,"9",48.1111111111111,52,"41-45","yes","yes",1,0
"1135",21050,"M",2,"7",47.7142857142857,26,"18-25","yes","yes",1,1
"1136",21086,"F",4,"1",78,4,"18-25","no","yes",1,0
"1140",21116,"F",14,"5",61,28,"26-30","yes","yes",1,1
"1141",21128,"F",28,"2",137.5,34,"18-25","yes","no",1,0
"1145",21187,"F",16,"1",232,16,"18-25","no","no",1,0
"1146",21193,"F",14,"10",40.3,66,"36-40","no","yes",1,0
"1147",21212,"F",6,"3",58.6666666666667,12,"18-25","no","yes",1,0
"1149",21226,"M",26,"1",231,26,"18-25","no","no",1,0
"1154",21269,"F",2,"5",63.6,30,"41-45","no","no",1,0
"1155",21272,"F",4,"1",64,4,"18-25","yes","no",1,0
"1160",21323,"F",32,"3",17.6666666666667,42,"26-30","no","yes",1,0
"1165",21363,"M",8,"2",59,16,"18-25","no","yes",1,1
"1166",21400,"F",16,"2",138.5,20,"18-25","no","no",1,0
"1170",21431,"M",12,"7",48.5714285714286,30,"26-30","yes","yes",1,0
"1175",21494,"F",30,"1",88,30,"18-25","no","no",1,0
"1178",21501,"F",8,"12",26.8333333333333,32,"36-40","yes","yes",1,1
"1180",21511,"F",10,"2",90,14,"18-25","yes","no",1,0
"1182",21528,"M",12,"5",42.8,40,"18-25","no","yes",1,1
"1186",21599,"F",4,"2",44,8,"18-25","no","yes",1,0
"1187",21621,"F",6,"4",34,22,"18-25","no","yes",1,0
"1189",21648,"F",36,"12",21.8333333333333,76,"36-40","yes","yes",1,0
"1192",21668,"F",12,"11",40.8181818181818,62,"26-30","yes","yes",1,0
"1193",21672,"M",14,"10",16.6,50,"36-40","yes","yes",1,1
"1196",21684,"F",16,"11",38.1818181818182,60,"18-25","yes","yes",1,0
"1197",21700,"M",4,"6",43.6666666666667,24,"31-35","yes","no",1,0
"1200",21739,"F",12,"11",26.3636363636364,66,"36-40","yes","yes",1,0
"1202",21775,"F",26,"6",50.3333333333333,44,"18-25","no","yes",1,0
"1203",21795,"M",34,"1",23,34,"18-25","no","yes",1,0
"1206",21826,"M",4,"1",39,4,"18-25","no","yes",1,0
"1207",21829,"F",10,"9",19.5555555555556,56,"26-30","yes","yes",1,0
"1212",21904,"M",12,"2",73.5,18,"18-25","no","no",1,0
"1214",21916,"F",14,"10",22.9,38,"26-30","no","yes",1,0
"1215",21921,"F",12,"8",48.875,46,"31-35","yes","yes",1,1
"1216",21930,"F",14,"1",142,14,"18-25","yes","no",1,0
"1222",21985,"F",24,"2",123.5,28,"26-30","yes","no",1,0
"1223",22006,"F",34,"5",26.4,62,"31-35","no","yes",1,0
"1225",22008,"F",12,"5",26.2,38,"26-30","no","yes",1,0
"1226",22019,"F",4,"2",104.5,12,"18-25","no","yes",1,0
"1227",22029,"M",2,"1",236,2,"18-25","no","no",1,0
"1229",22045,"F",20,"6",21.3333333333333,34,"31-35","yes","yes",1,1
"1231",22071,"F",6,"1",27,6,"26-30","no","no",1,0
"1232",22073,"M",6,"1",154,6,"26-30","no","no",1,0
"1233",22082,"F",10,"1",237,10,"18-25","no","yes",1,0
"1234",22085,"M",12,"2",34.5,14,"18-25","no","yes",1,0
"1236",22106,"F",12,"1",199,12,"18-25","yes","no",1,0
"1237",22110,"F",6,"1",295,6,"18-25","yes","no",1,0
"1241",22136,"F",16,"1",73,16,"18-25","no","no",1,0
"1243",22164,"M",16,"3",52.3333333333333,24,"18-25","no","no",1,0
"1244",22186,"M",6,"2",54.5,14,"26-30","no","no",1,0
"1245",22187,"F",12,"1",291,12,"18-25","no","no",1,0
"1247",22236,"F",6,"4",49.25,30,"18-25","yes","yes",1,0
"1248",22237,"F",12,"1",256,12,"18-25","no","no",1,0
"1249",22240,"F",4,"2",125,8,"18-25","no","no",1,0
"1250",22248,"F",16,"2",118,20,"18-25","yes","no",1,0
"1253",22291,"M",8,"1",283,8,"26-30","no","no",1,0
"1255",22328,"F",14,"12",32.4166666666667,84,"36-40","no","yes",1,0
"1256",22330,"M",2,"11",35.5454545454545,62,"41-45","yes","yes",1,1
"1257",22332,"F",10,"5",33.8,28,"18-25","no","yes",1,1
"1258",22342,"F",14,"1",110,14,"18-25","no","no",1,0
"1259",22363,"F",32,"9",46.1111111111111,84,"36-40","yes","yes",1,1
"1263",22383,"F",12,"1",206,12,"26-30","no","no",1,0
"1264",22385,"F",16,"6",48.6666666666667,38,"18-25","no","yes",1,1
"1267",22393,"M",4,"2",93.5,10,"18-25","no","yes",1,1
"1269",22420,"F",2,"1",208,2,"18-25","no","yes",1,0
"1270",22423,"F",8,"2",158.5,12,"26-30","no","no",1,0
"1271",22426,"F",10,"1",199,10,"18-25","no","no",1,0
"1273",22434,"F",16,"2",101.5,18,"31-35","no","no",1,0
"1274",22442,"F",12,"2",32.5,16,"26-30","yes","no",1,0
"1276",22469,"F",14,"10",28.7,48,"36-40","yes","yes",1,1
"1279",22492,"M",10,"2",47,16,"26-30","no","no",1,0
"1280",22494,"F",8,"1",117,8,"18-25","no","no",1,0
"1281",22499,"F",18,"1",67,18,"18-25","yes","no",1,0
"1283",22539,"F",10,"1",25,10,"18-25","no","no",1,0
"1285",22545,"F",26,"2",54,34,"18-25","no","yes",1,0
"1287",22572,"F",6,"1",158,6,"18-25","no","no",1,0
"1288",22613,"F",10,"4",18.75,18,"26-30","no","no",1,0
"1290",22636,"F",6,"1",166,6,"18-25","yes","no",1,0
"1292",22656,"F",10,"12",29.9166666666667,76,"26-30","yes","yes",1,0
"1295",22700,"M",4,"4",51.25,26,"26-30","no","yes",1,0
"1296",22721,"F",14,"2",94.5,22,"18-25","no","yes",1,0
"1301",22753,"F",12,"1",230,12,"18-25","no","yes",1,0
"1303",22759,"M",16,"9",22.5555555555556,36,"18-25","no","yes",1,1
"1306",22775,"F",14,"9",42.2222222222222,64,"36-40","yes","yes",1,1
"1308",22780,"F",10,"2",138.5,16,"18-25","no","no",1,0
"1311",22798,"F",12,"6",31.3333333333333,42,"31-35","yes","no",1,0
"1312",22815,"F",32,"1",119,32,"18-25","no","no",1,0
"1313",22833,"F",4,"2",80,10,"18-25","yes","no",1,0
"1314",22841,"F",2,"11",19.3636363636364,62,"18-25","no","yes",1,1
"1316",22853,"F",6,"2",112.5,10,"18-25","yes","no",1,0
"1317",22859,"F",10,"2",62,12,"26-30","no","no",1,0
"1322",22883,"M",8,"1",275,8,"18-25","no","no",1,0
"1323",22893,"M",16,"2",70.5,24,"18-25","no","yes",1,0
"1325",22938,"F",10,"2",155.5,16,"18-25","no","no",1,0
"1331",22986,"F",26,"1",136,26,"18-25","no","no",1,0
"1337",23078,"F",2,"12",37.0833333333333,52,"36-40","no","yes",1,1
"1340",23156,"F",18,"2",31,20,"18-25","no","yes",1,0
"1343",23169,"F",10,"1",302,10,"26-30","no","no",1,0
"1344",23170,"F",14,"1",146,14,"18-25","no","no",1,0
"1346",23197,"M",28,"4",72.75,40,"31-35","no","no",1,0
"1349",23284,"F",14,"1",24,14,"18-25","no","no",1,0
"1351",23297,"F",14,"8",40.625,46,"36-40","yes","yes",1,1
"1352",23319,"F",2,"4",45.75,16,"26-30","no","yes",1,0
"1353",23323,"M",10,"4",37.25,26,"26-30","yes","no",1,0
"1354",23325,"M",12,"11",18.3636363636364,52,"31-35","yes","yes",1,0
"1355",23346,"F",18,"1",174,18,"18-25","no","no",1,0
"1356",23353,"F",18,"11",15,56,"31-35","yes","yes",1,1
"1357",23361,"F",36,"11",28,99,"31-35","yes","yes",1,1
"1360",23377,"M",10,"1",84,10,"26-30","no","no",1,0
"1362",23385,"F",8,"2",139.5,10,"26-30","no","no",1,0
"1363",23391,"F",2,"1",281,2,"18-25","no","yes",1,0
"1365",23404,"F",2,"2",128.5,4,"26-30","no","no",1,0
"1366",23407,"M",16,"1",186,16,"18-25","no","yes",1,0
"1367",23419,"F",26,"1",141,26,"18-25","no","yes",1,0
"1370",23460,"F",4,"11",15.2727272727273,44,"26-30","no","yes",1,0
"1371",23466,"M",4,"11",19.2727272727273,58,"46-50","no","yes",1,0
"1372",23474,"M",6,"6",31.1666666666667,20,"26-30","yes","yes",1,1
"1374",23500,"F",6,"9",43.6666666666667,34,"41-45","yes","no",1,0
"1375",23502,"F",12,"1",197,12,"18-25","no","yes",1,0
"1377",23523,"F",6,"1",185,6,"18-25","no","yes",1,0
"1380",23548,"F",6,"7",32.5714285714286,28,"26-30","yes","yes",1,1
"1381",23558,"M",8,"5",15.4,32,"26-30","yes","yes",1,0
"1382",23575,"F",14,"3",16,28,"18-25","no","yes",1,0
"1383",23577,"M",20,"1",124,20,"18-25","no","yes",1,0
"1389",23600,"F",8,"1",252,8,"18-25","yes","no",1,0
"1391",23608,"M",16,"1",71,16,"26-30","no","no",1,0
"1392",23611,"M",10,"6",44,36,"18-25","no","no",1,0
"1395",23685,"M",24,"2",63,30,"26-30","yes","no",1,0
"1397",23690,"M",12,"2",155.5,16,"26-30","no","no",1,0
"1400",23745,"F",12,"2",21,16,"18-25","no","yes",1,0
"1404",23773,"F",12,"1",246,12,"18-25","no","yes",1,0
"1405",23778,"F",2,"1",269,2,"18-25","yes","no",1,0
"1406",23784,"F",10,"8",19.125,44,"18-25","yes","yes",1,1
"1407",23795,"M",10,"1",159,10,"18-25","no","yes",1,0
"1408",23801,"M",12,"2",16,16,"26-30","no","no",1,0
"1409",23802,"M",28,"3",72,40,"31-35","no","no",1,0
"1411",23827,"F",8,"2",121.5,10,"26-30","no","yes",1,0
"1412",23839,"M",34,"1",141,34,"18-25","no","no",1,0
"1416",23872,"F",10,"4",30,30,"26-30","yes","yes",1,0
"1420",23901,"F",14,"8",22.75,54,"41-45","no","no",1,0
"1421",23919,"M",14,"2",144,16,"18-25","no","no",1,0
"1422",23921,"M",10,"12",16.8333333333333,50,"41-45","yes","yes",1,0
"1424",23934,"F",12,"9",39.3333333333333,34,"46-50","no","yes",1,0
"1425",23943,"M",34,"2",68,40,"26-30","no","no",1,0
"1426",23945,"F",16,"1",259,16,"26-30","no","no",1,0
"1427",23948,"F",12,"2",22.5,18,"18-25","no","yes",1,0
"1429",23971,"F",12,"11",42,42,"36-40","yes","no",1,0
"1430",23990,"M",10,"1",209,10,"18-25","no","no",1,0
"1431",24011,"F",2,"2",43,10,"26-30","no","no",1,0
"1433",24030,"F",16,"11",29.7272727272727,44,"18-25","yes","yes",1,0
"1436",24060,"F",30,"1",72,30,"18-25","no","no",1,0
"1438",24075,"F",6,"1",262,6,"18-25","no","no",1,0
"1439",24091,"F",16,"1",265,16,"18-25","no","no",1,0
"1440",24130,"F",8,"1",188,8,"26-30","no","no",1,0
"1441",24133,"M",4,"2",82.5,6,"18-25","no","yes",1,0
"1443",24160,"M",8,"2",141,16,"18-25","no","no",1,0
"1445",24198,"F",14,"5",69.2,40,"26-30","no","yes",1,0
"1446",24210,"M",12,"2",112,18,"26-30","no","no",1,0
"1447",24229,"M",6,"9",41.4444444444444,36,"26-30","no","yes",1,1
"1448",24260,"F",26,"1",205,26,"18-25","no","no",1,0
"1450",24283,"M",16,"2",107.5,18,"18-25","yes","no",1,0
"1452",24300,"F",8,"2",92,16,"18-25","yes","no",1,0
"1453",24317,"F",30,"2",122.5,38,"18-25","no","yes",1,0
"1454",24329,"F",16,"6",20.6666666666667,40,"26-30","no","yes",1,1
"1455",24331,"F",34,"10",17.3,82,"31-35","no","yes",1,1
"1456",24332,"M",6,"2",27,14,"18-25","no","no",1,0
"1461",24387,"M",2,"3",83.6666666666667,16,"18-25","yes","yes",1,0
"1462",24392,"F",8,"1",256,8,"18-25","no","no",1,0
"1465",24421,"M",10,"2",72,16,"18-25","yes","no",1,0
"1466",24434,"M",4,"9",25.7777777777778,54,"26-30","yes","yes",1,1
"1467",24460,"F",4,"12",32.4166666666667,50,"36-40","no","yes",1,0
"1468",24475,"M",8,"7",45.1428571428571,44,"31-35","yes","yes",1,1
"1469",24478,"F",8,"1",189,8,"18-25","yes","no",1,0
"1470",24481,"M",2,"2",147.5,4,"26-30","yes","no",1,0
"1471",24482,"M",14,"8",46.625,44,"18-25","no","yes",1,0
"1474",24527,"F",14,"2",107.5,18,"18-25","no","yes",1,0
"1475",24530,"F",10,"5",21.2,32,"18-25","no","yes",1,0
"1478",24566,"M",12,"2",92.5,20,"26-30","no","no",1,0
"1479",24583,"M",2,"1",163,2,"26-30","no","no",1,0
"1481",24610,"M",34,"1",166,34,"18-25","no","yes",1,0
"1487",24651,"F",2,"1",115,2,"18-25","no","yes",1,0
"1489",24664,"F",12,"1",29,12,"18-25","no","yes",1,0
"1490",24673,"F",2,"1",219,2,"26-30","no","no",1,0
"1491",24674,"F",2,"1",28,2,"18-25","no","yes",1,0
"1493",24691,"M",14,"8",22.625,60,"26-30","no","yes",1,0
"1500",24747,"F",4,"4",30.25,14,"26-30","yes","no",1,0
"1501",24762,"F",4,"2",78,10,"18-25","yes","no",1,0
"1504",24783,"M",14,"2",136.5,22,"18-25","no","no",1,0
"1505",24789,"M",10,"7",31.5714285714286,24,"31-35","no","yes",1,1
"1506",24829,"M",12,"2",95,14,"18-25","no","no",1,0
"1509",24861,"F",4,"1",314,4,"18-25","no","no",1,0
"1511",24878,"F",30,"6",54.1666666666667,64,"26-30","yes","yes",1,0
"1513",24887,"F",28,"11",28.6363636363636,62,"26-30","yes","yes",1,0
"1514",24895,"F",6,"5",63.6,28,"18-25","no","yes",1,1
"1516",24921,"F",8,"2",160.5,14,"18-25","yes","no",1,0
"1518",24940,"F",10,"3",16.6666666666667,20,"26-30","yes","yes",1,1
"1520",24962,"M",8,"12",25.1666666666667,68,"31-35","yes","yes",1,0
"1521",24982,"F",28,"8",33.125,56,"31-35","no","yes",1,0
"1523",25020,"F",12,"3",43.6666666666667,26,"26-30","no","yes",1,0
"1524",25024,"F",20,"2",155.5,24,"18-25","no","yes",1,0
"1525",25028,"F",2,"1",74,2,"26-30","no","no",1,0
"1526",25029,"F",16,"12",24.6666666666667,60,"31-35","yes","yes",1,0
"1528",25056,"F",10,"1",260,10,"18-25","no","yes",1,0
"1531",25074,"F",18,"1",207,18,"18-25","no","no",1,0
"1532",25076,"M",16,"2",85,20,"26-30","yes","no",1,0
"1533",25084,"F",20,"2",101.5,24,"26-30","no","no",1,0
"1534",25095,"M",8,"2",75,16,"18-25","no","no",1,0
"1535",25107,"F",12,"3",85.6666666666667,24,"18-25","no","no",1,0
"1536",25110,"F",34,"12",19.8333333333333,86,"31-35","no","yes",1,0
"1537",25120,"F",16,"1",181,16,"18-25","no","no",1,0
"1543",25176,"M",14,"1",280,14,"18-25","no","yes",1,0
"1545",25195,"F",12,"2",78,20,"18-25","yes","no",1,0
"1546",25197,"F",4,"2",35,6,"26-30","no","yes",1,0
"1549",25230,"F",16,"5",74.4,40,"36-40","no","no",1,0
"1551",25267,"F",26,"8",44,52,"31-35","no","yes",1,1
"1554",25327,"F",16,"1",266,16,"18-25","no","no",1,0
"1557",25357,"F",4,"2",22.5,12,"26-30","yes","no",1,0
"1559",25371,"F",10,"1",24,10,"18-25","no","no",1,0
"1560",25372,"M",8,"2",153.5,10,"18-25","no","no",1,0
"1561",25375,"F",14,"7",38.1428571428571,42,"36-40","no","yes",1,0
"1565",25392,"F",6,"1",212,6,"18-25","no","no",1,0
"1566",25409,"M",6,"1",136,6,"26-30","no","no",1,0
"1567",25440,"M",16,"8",25.5,34,"36-40","no","yes",1,1
"1568",25470,"F",12,"1",234,12,"18-25","no","no",1,0
"1569",25476,"M",14,"1",147,14,"26-30","no","no",1,0
"1571",25480,"F",14,"11",31.6363636363636,44,"26-30","yes","yes",1,0
"1572",25487,"F",4,"9",18.3333333333333,50,"26-30","yes","yes",1,0
"1577",25554,"F",20,"2",77,26,"18-25","no","no",1,0
"1578",25572,"F",12,"2",129.5,16,"18-25","yes","no",1,0
"1582",25608,"M",14,"2",137.5,18,"18-25","yes","yes",1,0
"1583",25616,"F",12,"2",29,18,"31-35","no","no",1,0
"1584",25624,"F",24,"1",310,24,"18-25","yes","no",1,0
"1587",25701,"F",14,"11",41.7272727272727,70,"26-30","yes","yes",1,0
"1588",25714,"F",16,"6",21.1666666666667,30,"26-30","yes","no",1,0
"1589",25719,"F",10,"1",172,10,"18-25","yes","no",1,0
"1590",25726,"F",6,"1",109,6,"26-30","no","no",1,0
"1592",25742,"F",16,"3",16.6666666666667,32,"18-25","no","no",1,0
"1594",25766,"F",12,"2",22.5,14,"18-25","no","yes",1,0
"1595",25773,"M",14,"1",79,14,"18-25","no","yes",1,0
"1601",25831,"M",16,"1",258,16,"26-30","no","no",1,0
"1602",25832,"M",10,"2",26,16,"18-25","no","yes",1,0
"1604",25857,"F",16,"8",19.375,56,"26-30","yes","yes",1,1
"1605",25879,"F",24,"1",89,24,"18-25","no","no",1,0
"1607",25904,"M",2,"8",37.5,28,"36-40","yes","yes",1,0
"1609",25954,"M",22,"1",277,22,"18-25","yes","no",1,0
"1610",25963,"F",2,"7",42.7142857142857,26,"36-40","yes","yes",1,0
"1613",25994,"F",20,"4",41.75,40,"26-30","no","yes",1,0
"1617",26020,"M",30,"4",67.5,40,"26-30","yes","no",1,0
"1621",26050,"F",6,"1",152,6,"18-25","no","no",1,0
"1622",26065,"F",4,"2",124,8,"26-30","yes","no",1,0
"1623",26072,"F",16,"2",142.5,24,"18-25","yes","no",1,0
"1624",26081,"F",6,"7",29.4285714285714,20,"36-40","yes","yes",1,0
"1630",26122,"F",16,"1",26,16,"26-30","no","no",1,0
"1632",26129,"F",10,"11",16.8181818181818,72,"26-30","yes","yes",1,0
"1634",26140,"F",32,"1",33,32,"18-25","no","yes",1,0
"1636",26149,"F",12,"2",134,18,"18-25","no","no",1,0
"1640",26215,"F",14,"10",15.2,34,"41-45","no","yes",1,0
"1645",26264,"F",16,"10",27.6,54,"26-30","yes","yes",1,1
"1647",26275,"F",14,"5",51.6,40,"26-30","no","yes",1,0
"1648",26317,"F",10,"6",16.5,32,"36-40","no","yes",1,0
"1653",26420,"M",18,"10",29.1,46,"31-35","yes","yes",1,1
"1656",26437,"M",16,"2",92.5,24,"26-30","no","yes",1,0
"1658",26450,"F",16,"1",176,16,"18-25","yes","no",1,0
"1661",26482,"F",6,"11",33.6363636363636,54,"36-40","yes","yes",1,0
"1662",26491,"F",36,"2",60.5,42,"18-25","yes","no",1,0
"1663",26502,"F",16,"11",31,42,"31-35","yes","yes",1,1
"1664",26510,"M",30,"1",186,30,"26-30","no","no",1,0
"1666",26542,"M",16,"2",90,20,"26-30","no","no",1,0
"1669",26552,"F",10,"4",21.75,32,"26-30","no","no",1,0
"1672",26574,"F",10,"12",23.8333333333333,34,"31-35","yes","yes",1,0
"1677",26638,"M",4,"7",40.1428571428571,30,"26-30","no","yes",1,0
"1678",26658,"F",2,"2",132.5,4,"18-25","no","yes",1,0
"1684",26697,"M",12,"5",34.4,34,"36-40","no","yes",1,0
"1685",26700,"F",12,"2",27,18,"26-30","no","no",1,0
"1686",26717,"F",10,"1",190,10,"18-25","no","no",1,0
"1687",26727,"F",10,"2",72,12,"18-25","yes","yes",1,0
"1688",26740,"F",12,"2",55.5,16,"26-30","yes","no",1,0
"1690",26742,"F",16,"2",157.5,18,"26-30","no","no",1,0
"1692",26769,"F",12,"2",67,14,"26-30","no","no",1,0
